transaction_id,step,type,amount,fraud_probability,expected_loss,risk_band,rank,isFraud
demo-011612,348,CASH_OUT,3031.45,0.6391437818934423,1937.5324176208758,high,1,1
demo-010274,306,CASH_OUT,4771.87,0.39693988212055603,1894.1455152946176,guarded,2,0
demo-010322,307,CASH_OUT,3780.52,0.4586556275743472,1733.9567731573711,high,3,0
demo-011024,330,CASH_OUT,4210.22,0.2815364943213422,1185.3305791216014,guarded,4,0
demo-010276,306,CASH_OUT,5768.83,0.20280216362447115,1169.931205581758,guarded,5,0
demo-011902,357,TRANSFER,4874.63,0.1881295409162225,917.0619040364458,guarded,6,1
demo-010959,328,CASH_OUT,4973.46,0.17958803999336334,893.1739333853928,guarded,7,0
demo-011484,345,TRANSFER,4041.15,0.20425568974700578,825.4278806211124,guarded,8,0
demo-010814,323,TRANSFER,1630.12,0.4719855419642954,769.3930716668372,high,9,0
demo-011222,335,CASH_OUT,1930.38,0.3767229672532071,727.2184815262459,guarded,10,0
demo-010514,313,CASH_OUT,3427.36,0.2107727148043141,722.393971811714,guarded,11,0
demo-010898,326,TRANSFER,1678.31,0.4114156284957513,690.4829634607044,high,12,1
demo-011770,353,TRANSFER,3645.57,0.17732988273305259,646.4685005951345,guarded,13,1
demo-010979,329,TRANSFER,1400.55,0.4463661816162728,625.1581556626709,high,14,0
demo-011614,348,CASH_OUT,2645.57,0.2239964640718304,592.5983254545124,guarded,15,0
demo-011216,335,CASH_OUT,2491.87,0.23357702167837294,582.0435730096872,guarded,16,0
demo-011689,351,CASH_OUT,6700.6,0.08643261755569402,579.1503971936834,low,17,0
demo-010393,309,TRANSFER,2887.78,0.1790959238012817,517.1896268348653,guarded,18,0
demo-010462,312,CASH_OUT,1749.26,0.2922334931303382,511.1923601931754,guarded,19,0
demo-011542,346,CASH_OUT,1947.9,0.2602925145216644,507.02378903675014,guarded,20,1
demo-010885,326,CASH_OUT,1360.27,0.3672312928298511,499.53371069766155,guarded,21,1
demo-010775,322,TRANSFER,806.98,0.6117483591728898,493.66869088533866,high,22,0
demo-011808,354,CASH_OUT,1091.99,0.4455902114493307,486.58005500055464,high,23,0
demo-011710,351,TRANSFER,3678.4,0.12834979265153373,472.1218772894017,guarded,24,0
demo-010926,327,TRANSFER,1444.47,0.325179806200668,469.7124746626789,guarded,25,0
demo-011258,336,CASH_OUT,2440.57,0.14743321483734895,359.82108113558877,guarded,26,0
demo-010564,315,TRANSFER,1928.62,0.1860373421670273,358.7953388501722,guarded,27,0
demo-011695,351,TRANSFER,801.77,0.4157109711205334,333.3045853153101,high,28,0
demo-010880,325,CASH_OUT,1377.09,0.24049742577753758,331.1866000639892,guarded,29,0
demo-010873,325,TRANSFER,850.3,0.38120682747255197,324.1401653999109,guarded,30,0
demo-010330,308,CASH_OUT,2178.18,0.14836112699809417,323.15723960470876,guarded,31,0
demo-011768,353,CASH_OUT,1137.37,0.28089543117800425,319.48203655892667,guarded,32,0
demo-011387,341,PAYMENT,813.02,0.3777287428228512,307.10102248983446,guarded,33,0
demo-011067,331,CASH_OUT,1261.98,0.24254318687046902,306.0846509667945,guarded,34,0
demo-010444,311,CASH_OUT,956.9,0.317578943367305,303.89129090817414,guarded,35,0
demo-011501,345,TRANSFER,1223.08,0.24457586401574816,299.13584776038124,guarded,36,0
demo-011777,354,CASH_OUT,2525.09,0.11581142341679401,292.43426715551243,guarded,37,0
demo-011118,332,TRANSFER,810.64,0.359482172041246,291.41062794351564,guarded,38,0
demo-011319,338,TRANSFER,2774.07,0.10452501946729732,289.9597207536455,guarded,39,1
demo-011140,333,TRANSFER,1060.22,0.2641079067512695,280.01248489583094,guarded,40,0
demo-010765,321,TRANSFER,746.29,0.3678932802667345,274.5550761302613,guarded,41,0
demo-011601,348,CASH_OUT,2913.24,0.0891808414177673,259.8051944518964,low,42,0
demo-011276,337,TRANSFER,611.83,0.4090097842233084,250.2444562813468,high,43,0
demo-011592,348,CASH_OUT,737.9,0.3388634236807321,250.0473203340122,guarded,44,0
demo-011291,337,CASH_OUT,659.95,0.3745275920311578,247.16948436096263,guarded,45,0
demo-011332,338,CASH_OUT,1047.61,0.23524478335561066,246.44478749117127,guarded,46,1
demo-010728,320,TRANSFER,3314.46,0.07320602626613629,242.63844581805807,low,47,0
demo-010928,327,CASH_OUT,1186.46,0.20417913628936737,242.2503780418828,guarded,48,0
demo-011324,338,CASH_OUT,830.98,0.27870944740124737,231.60197660148853,guarded,49,0
demo-011654,349,CASH_OUT,1344.3,0.17142241266297706,230.44314934284006,guarded,50,0
demo-010861,325,TRANSFER,677.78,0.3361514466773588,227.83672752898025,guarded,51,0
demo-011091,332,TRANSFER,640.54,0.35133399832410983,225.0434792865253,guarded,52,0
demo-010929,327,CASH_OUT,964.76,0.22910159345811634,221.02805330465233,guarded,53,0
demo-011877,356,TRANSFER,639.98,0.3395235057169872,217.28825318875747,guarded,54,0
demo-011909,357,TRANSFER,819.83,0.263046529723771,215.6534364634392,guarded,55,0
demo-011580,347,CASH_OUT,1860.99,0.11098534651050004,206.5426200025755,guarded,56,1
demo-011204,335,CASH_OUT,2768.68,0.07315300379549035,202.53725854849822,low,57,0
demo-011206,335,TRANSFER,1341.12,0.15059788285179293,201.9698326501965,guarded,58,0
demo-011734,352,TRANSFER,1190.84,0.16791298724059855,199.95750172559437,guarded,59,0
demo-011057,331,TRANSFER,1329.42,0.15026591514440904,199.76651291128027,guarded,60,0
demo-011634,349,TRANSFER,776.52,0.25656382094427693,199.2269382396499,guarded,61,1
demo-011342,339,CASH_OUT,924.29,0.20895551390987815,193.13549195176128,guarded,62,0
demo-010925,327,TRANSFER,690.02,0.27579086050893215,190.30120956837337,guarded,63,0
demo-011359,340,TRANSFER,666.89,0.2829460479142587,188.69388989354,guarded,64,1
demo-011972,359,CASH_OUT,918.35,0.20195978092858763,185.46976481576846,guarded,65,0
demo-011322,338,TRANSFER,3363.65,0.05361855056479928,180.3540376072871,low,66,0
demo-010810,323,TRANSFER,854.85,0.20570314827749228,175.84533630501429,guarded,67,0
demo-011356,339,PAYMENT,870.56,0.19765627692120488,172.0716484365241,guarded,68,0
demo-011274,337,CASH_OUT,1131.09,0.15203768499848871,171.9683051249406,guarded,69,0
demo-010352,308,CASH_OUT,1209.72,0.13549689018025574,163.91329798885897,guarded,70,0
demo-010915,327,PAYMENT,780.64,0.20895029545224716,163.11495864184224,guarded,71,0
demo-011187,334,TRANSFER,645.24,0.25078820014086484,161.81857825889162,guarded,72,0
demo-010653,317,PAYMENT,759.44,0.21179443863172687,160.84516847447867,guarded,73,0
demo-010543,314,TRANSFER,2207.19,0.0728044573588694,160.69327023792295,low,74,0
demo-011053,331,CASH_OUT,1057.59,0.15006417979551057,158.706375909934,guarded,75,0
demo-011178,334,TRANSFER,925.83,0.17068244256020781,158.0229257955172,guarded,76,1
demo-010770,321,TRANSFER,1201.21,0.13086504938187002,157.1964059679961,guarded,77,0
demo-011936,358,CASH_OUT,2060.46,0.07526755424690391,155.08578482357564,low,78,0
demo-010290,306,CASH_OUT,652.95,0.23569419676672684,153.8965257788343,guarded,79,0
demo-011452,343,TRANSFER,2495.31,0.05988905962232408,149.4417693661815,low,80,0
